name,covid_lin_test/opacity_dice_run_results,covid_lin_test/opacity_dice_mean,covid_lin_test/opacity_dice_std,covid_lin_test/opacity_dice_num_runs,covid_lin_test/opacity_dice_95_interval
ImageNet,0.31785455346107483;0.3234761357307434;0.33356210589408875;0.31932443380355835;0.33511674404144287,0.3258667945861816,0.0080232961317409,5.0,0.00703272913724
byol_100,0.32846352458000183;0.3285555839538574;0.328553706407547;0.3286575973033905;0.32857072353363037,0.3285602271556854,6.893218993585914e-05,5.0,6.042172851352709e-05
byol_30,0.39236533641815186;0.3723395466804504;0.3769243061542511;0.36516863107681274;0.3380672037601471,0.3689730048179626,0.0199461761581836,5.0,0.0174835942661066
chexpert_30,0.3606691360473633;0.31512483954429626;0.30900222063064575;0.3096107244491577;0.3084622323513031,0.3205738306045532,0.022572703030086,5.0,0.0197858465771856
chexpert_100,0.3689315915107727;0.377994179725647;0.3795938193798065;0.3783287405967712;0.3788905441761017,0.3767477750778198,0.0044112676650096,5.0,0.003866646591436
ConVIRT_100,0.4131007492542267;0.4489817023277282;0.44803857803344727;0.3950669169425965;0.4304889440536499,0.4271353781223297,0.0231884079993036,5.0,0.0203255357779656
ConVIRT_30,0.49458399415016174;0.44243767857551575;0.43582475185394287;0.47120386362075806;0.40635818243026733,0.4500816941261291,0.0339117885229365,5.0,0.0297249932353462
LoVT_100,0.4280567765235901;0.4429672658443451;0.4477905333042145;0.4484729468822479;0.43489035964012146,0.4404355764389038,0.0087904533738114,5.0,0.0077051721083788
LoVT_30,0.48687979578971863;0.4938634932041168;0.4934031665325165;0.49221986532211304;0.4926016628742218,0.4917935967445374,0.0028220250640942,5.0,0.0024736140319889
pixelpro_30,0.25724077224731445;0.24916282296180725;0.2534139156341553;0.258024126291275;0.2679733335971832,0.257162994146347,0.0069940933243495,5.0,0.0061305931007754
pixelpro_100,0.32676875591278076;0.23435699939727783;0.3079204857349396;0.29374730587005615;0.2576766908168793,0.28409404754638673,0.03759543184462054,5.0,0.032953848969228476
random,0.059550922363996506;0.059550922363996506;0.059550922363996506;0.059550922363996506;0.059550922363996506,0.0595509223639965,0.0,5.0,0.0
simclr_100,0.35345572233200073;0.3527047038078308;0.3528555929660797;0.352759450674057;0.35275018215179443,0.3529051303863525,0.0003126530800924,5.0,0.0002740525078608
simclr_30,0.3303152620792389;0.3305080831050873;0.3305826187133789;0.33045944571495056;0.3306211233139038,0.3304973065853119,0.0001196855489907,5.0,0.0001049090091993
